10,化学与科学、技术、社会、环境密切相关。下列有关说法错误的是,为防止中秋月饼等富脂食品因被氧化而变质，常在包装袋中放入生石灰或硅胶,国庆节期间燃放的焰火的颜色是某些金属元素焰色反应所呈现出来的色彩,小苏打是制作馒头和面包等糕点的膨松剂，还是治疗胃酸过多的一种药剂,青铜是我国使用最早的合金材料，目前世界上使用量最大的合金材料是钢铁,A,A题目：化学与科学、技术、社会、环境密切相关。下列有关说法错误的是A. 为防止中秋月饼等富脂食品因被氧化而变质，常在包装袋中放入生石灰或硅胶B. 国庆节期间燃放的焰火的颜色是某些金属元素焰色反应所呈现出来的色彩C. 小苏打是制作馒头和面包等糕点的膨松剂，还是治疗胃酸过多的一种药剂D. 青铜是我国使用最早的合金材料，目前世界上使用量最大的合金材料是钢铁答案是：A解释：选项A中的说法是错误的。通常在食品包装中放入的是脱氧剂而不是生石灰或硅胶，生石灰或硅胶主要用于吸湿。正确的做法是在食品包装中放入脱氧剂来吸收氧气，防止食物氧化变质。其他选项B、C、D都是正确的。
11,设NA表示阿伏加德罗常数的值，下列关于7.8 g过氧化钠固体的说法正确的是,与足量的CO2反应，转移电子数为0.1NA,其中所含离子总数为0.4NA,与足量的H2O反应，生成O2分子数为0.1NA,其中所含电子总数为0.4NA,A,A解析如下：对于最后一题，7.8 g过氧化钠（Na2O2）的摩尔质量是78 g/mol，因此7.8 g对应的物质的量是0.1 mol。过氧化钠与水或二氧化碳反应时，每2个Na2O2会失去2个电子，所以0.1 mol Na2O2会转移0.1NA个电子，故选项A正确。- 选项B：0.1 mol Na2O2含有0.2NA个Na+和0.2NA个O2-，总共0.4NA个离子。- 选项C：过氧化钠与水反应生成氧气的化学方程式为2Na2O2 + 2H2O → 4NaOH + O2↑，0.1 mol Na2O2生成0.05 mol O2，即0.05NA个O2分子。- 选项D：每个Na2O2分子含有32个电子（2个钠原子，每个钠原子11个电子；2个氧原子，每个氧原子8个电子），0.1 mol Na2O2含有3.2NA个电子。综上所述，正确答案是A。
12,五种短周期主族元素X、Y、Z、W、M，它们的原子序数依次增大；其中X、W同主族，Y和M同主族；Y、M质子数之和是X、W质子数之和的2倍。下列说法中正确的是,Z在元素周期表中的位置是第二周期ⅥA族,与X形成化合物的稳定性Z＞Y＞M,单质Y和W在常温下化合生成W2Y2,M、W、Y所形成的化合物水溶液呈碱性,B,题目：五种短周期主族元素X、Y、Z、W、M，它们的原子序数依次增大；其中X、W同主族，Y和M同主族；Y、M质子数之和是X、W质子数之和的2倍。下列说法中正确的是答案是：B解析：- X、W同主族，设X的原子序数为n，则W的原子序数为n+8（因为它们是同一主族且原子序数依次增大）。- Y和M同主族，设Y的原子序数为m，则M的原子序数为m+8。- Y、M质子数之和是X、W质子数之和的2倍，即 \(m + (m + 8) = 2(n + n + 8)\)，简化后得到 \(2m + 8 = 4n + 16\)，进一步简化得到 \(m = 2n + 4\)。根据上述关系，我们尝试找出符合条件的元素：- 如果X是C（碳），则n=6，W是S（硫），n+8=14。- 如果Y是O（氧），则m=2*6+4=16，M是P（磷），m+8=24。因此，X是C，Y是O，Z未知，W是S，M是P。现在验证每个选项：A. Z在元素周期表中的位置是第二周期ⅥA族，Z未确定，但可以推断是N（氮），位于第二周期第VIA族，正确。B. 与X形成化合物的稳定性Z＞Y＞M，即N（氮）＞O（氧）＞P（磷）。氮气分子间的三键比氧分子间的双键更强，而磷的非金属性较弱，所以稳定性排序合理，正确。C. 单质Y和W在常温下化合生成W2Y2，即SO2，但这不是常温下的反应产物，错误。D. M、W、Y所形成的化合物水溶液呈碱性，M、W、Y分别是P、S、O，形成的化合物如硫酸氢铵(H2SO4·NH4HSO4)是酸性的，错误。综上所述，正确的选项是B。
13,我国古代文献资料中记载了大量的化学研究过程与成果。下列选项不涉及化学变化的是,原文：水火既济而土和。解释：黏土烧结成陶瓷。,原文：欲去杂还纯，再入水煎炼，倾入盆中，经宿成白雪。解释：重结晶方法提纯物质。,原文：以曾青凃铁，铁赤色如铜。解释：金属的置换。,原文：丹砂烧之成水银，积变又还成丹砂。解释：物质间转化的可逆性。,B,B解析如下：- A项描述的是化学变化，因为黏土烧结成陶瓷涉及到物质结构的变化。- B项描述的是物理过程中的提纯，没有新的化学物质生成，属于物理变化。- C项描述的是金属的置换反应，涉及化学变化。- D项描述的是物质间的可逆转化，涉及化学变化。
14,下列各组变化中，前者是物理变化，后者是化学变化的是,碘的升华、石油的分馏,蛋白质溶液中加饱和(NH4)2SO4溶液、蓝色的胆矾常温下变白,NH4Cl溶液除铁锈、食盐水导电,热的饱和KNO3溶液降温析出晶体、二硫化碳洗涤试管内壁上的硫,B,答案是：D
15,下列叙述正确的是,0.1 mol·L－^1CH3COONa溶液中：c(Na＋)>c(CH3COO－)>c(H＋)>c(OH－),pH＝5的CH3COOH溶液和pH＝5的NH4Cl溶液中，c(H＋)不相等,在Na2S溶液中加入AgCl固体，溶液中c(S2－)下降,Na2CO3溶液加水稀释后，恢复至原温度，pH和Kw均减小,C,C题目：下列叙述正确的是A. 0.1 mol·L－^1CH3COONa溶液中：c(Na＋)>c(CH3COO－)>c(H＋)>c(OH－)B. pH＝5的CH3COOH溶液和pH＝5的NH4Cl溶液中，c(H＋)不相等C. 在Na2S溶液中加入AgCl固体，溶液中c(S2－)下降D. Na2CO3溶液加水稀释后，恢复至原温度，pH和Kw均减小正确答案是：C。在Na2S溶液中加入AgCl固体，由于银离子的存在会与硫离子结合生成沉淀，导致溶液中c(S2－)下降。其他选项的描述不符合实际情况或原理。
16,列物质的使用不涉及化学变化的是,明矾用作净水剂,生石灰作干燥剂,液氨用作制冷剂,氢氟酸刻蚀玻璃,C,答案是：C题目：下列物质的使用不涉及化学变化的是A. 明矾用作净水剂B. 生石灰作干燥剂C. 液氨用作制冷剂D. 氢氟酸刻蚀玻璃解析：明矾净水、生石灰作干燥剂、氢氟酸刻蚀玻璃都涉及化学变化。液氨用作制冷剂主要是通过液态变为气态吸收热量的过程，没有产生新的物质，因此属于物理变化。
17,关于离子交换法净化水的过程，下列说'法中错误的是,通过净化处理后，水的导电性降低,阴离子树脂填充段存在反应H+ + OH- = H2O,水中的NO2、SO42-，Cl-通过阴离子树脂后被除,经过阳离子交换树脂后，水中阳离子的总数不变,D,题目：关于离子交换法净化水的过程，下列说法中错误的是A. 通过净化处理后，水的导电性降低B. 阴离子树脂填充段存在反应H+ + OH- = H2OC. 水中的NO2-、SO42-、Cl-通过阴离子树脂后被除去D. 经过阳离子交换树脂后，水中阳离子的总数不变答案是：B解析：B项错误的原因在于，在阴离子树脂填充段，并不会发生H+和OH-之间的反应生成水（H+ + OH- = H2O）。实际上，阴离子树脂主要与水中的阴离子进行交换，而不是与水中的H+和OH-反应。其他选项描述的内容都是正确的。
18,“春蚕到死丝方尽，蜡炬成灰泪始干”是唐代诗人李商隐的著名诗句，下列关于该诗句中所涉及物质的说法错误的是,蚕丝的主要成分是蛋白质,古代的蜡是高级脂肪酸酯，属于高分子聚合物,蚕丝属于天热高分子材料,“蜡炬成灰”过程中发生了氧化反应,B,B解析：- **A** 项错误，古代的蜡主要成分是高级脂肪酸酯，并不是真正的高分子聚合物。- **B** 项正确，古代的蜡确实是高级脂肪酸酯。- **C** 项正确，蚕丝的主要成分确实是蛋白质，属于天然高分子材料。- **D** 项正确，“蜡炬成灰”过程中确实发生了氧化反应。因此，错误的选项是 B。
19,下列有关实验原理、方法和结论都正确的是,用蒸馏水、酚酞、BaCl2溶液和已知浓度盐酸标准液作试剂，可测定NaOH固体(杂质仅为Na2CO3)的纯度,实验室中的CCl4含有少量溴，加适量的苯，振荡、静置后分液，可除去CCl4中的溴,已知Cu2O＋2H＋===Cu2＋＋Cu＋H2O，氢气还原氧化铜后所得红色固体能完全溶于稀硝酸，说明还原产物是铜,取一定量水垢加盐酸，生成能使澄清石灰水变浑浊的气体，说明水垢的主要成分为CaCO3、MgCO3,A,答案是：D解析：A项，虽然可以使用酚酞来判断NaOH是否已经完全反应，但是无法直接通过滴定BaCl2溶液来准确测定NaOH的纯度，因为Na2CO3也会与BaCl2反应生成沉淀，这会干扰测定结果。B项，这种方法并不能有效去除CCl4中的Br2，因为Br2和苯在常温下互溶，不能形成两相进行分离。C项，氢气还原氧化铜后所得的红色固体可能是Cu或Cu2O，如果完全溶于稀硝酸，生成的Cu2+可能会被进一步氧化为Cu2+，因此不能仅凭此现象断定还原产物是铜。D项，水垢与盐酸反应生成的气体能使澄清石灰水变浑浊，说明该气体为CO2，而CaCO3、MgCO3均能与盐酸反应生成CO2，所以此结论是正确的。
20,下列物质性质与应用对应关系正确的是,水玻璃易溶于水，可用于生产黏合剂和防火剂,明矾溶于水能产生Al(OH)3胶体，可用作净水剂,钠和钾的合金具有导电性，可用于快中子反应堆热交换剂,甲醛能使蛋白质变性，可用于食品防腐剂,B,B题目：下列物质性质与应用对应关系正确的是A. 水玻璃易溶于水，可用于生产黏合剂和防火剂B. 明矾溶于水能产生Al(OH)3胶体，可用作净水剂C. 钠和钾的合金具有导电性，可用于快中子反应堆热交换剂D. 甲醛能使蛋白质变性，可用于食品防腐剂答案是：B
21,类推法在化学学习中经常采用，下列类推的结论正确的是,由常温下金属钠、铝可溶于NaOH溶液，可知金属镁也能溶于NaOH溶液,常温下，由Cu＋4HNO3(浓)===Cu(NO3)2＋2NO2↑＋2H2O，所以Fe也能与浓硝酸反应产生NO2,由钠保存在煤油中，所以钾也可以保存在煤油中,由Cl2＋2KBr===2KCl＋Br2，所以F2也能与KBr溶液反应置换出Br2,C,题目：类推法在化学学习中经常采用，下列类推的结论正确的是A. 由常温下金属钠、铝可溶于NaOH溶液，可知金属镁也能溶于NaOH溶液B. 常温下，由Cu＋4HNO3(浓)===Cu(NO3)2＋2NO2↑＋2H2O，所以Fe也能与浓硝酸反应产生NO2C. 由钠保存在煤油中，所以钾也可以保存在煤油中D. 由Cl2＋2KBr===2KCl＋Br2，所以F2也能与KBr溶液反应置换出Br2答案是：C解析：- A选项，镁的活泼性比钠和铝弱，虽然可以与NaOH溶液反应，但需要加热。- B选项，铁（Fe）不会与浓硝酸反应生成二氧化氮（NO2），而是在稀硝酸中才会发生反应。- C选项，钠和钾都是活泼金属，都需要保存在非水溶剂中，如煤油，以隔绝空气和水，防止发生危险反应。- D选项，氟（F2）的氧化性极强，可以将溴（Br2）从KBr溶液中置换出来，但这个反应条件非常苛刻，且通常不是通过简单的置换反应实现的。
22,下列化合物的分子中，所有原子可能共平面的是,甲苯,乙烷,1，3-丁二烯,丙炔,C,答案是：C题目：下列化合物的分子中，所有原子可能共平面的是A. 甲苯B. 乙烷C. 1，3-丁二烯D. 丙炔答案是：C
23,下列说法正确的是,将石蜡油(液态烷烃混合物)加强热分解生成的气体都是烷烃,甲苯能够使溴的四氯化碳溶液和酸性高锰酸钾溶液褪色,乙醇能够被酸性的高锰酸钾溶液直接氧化成乙酸,乙烷与氯气在光照条件下发生加成反应,C,B题目：下列说法正确的是A. 将石蜡油(液态烷烃混合物)加强热分解生成的气体都是烷烃B. 甲苯能够使溴的四氯化碳溶液和酸性高锰酸钾溶液褪色C. 乙醇能够被酸性的高锰酸钾溶液直接氧化成乙酸D. 乙烷与氯气在光照条件下发生加成反应正确答案是 B。甲苯确实可以被酸性高锰酸钾氧化成苯甲酸，并且可以与溴发生取代反应使溴的四氯化碳溶液褪色。而其他选项描述的情况要么不符合实际情况，要么本身就是错误的。
24,下列变化不能说明发生了化学变化的是,变化时释放或吸收能量,变化时有电子的得失或共用电子对的形成,变化过程中有化学键的断裂和形成,变化前后原子的种类和数目没有改变，分子种类增加了,A,答案是：D
25,下列说法正确的是,用玻璃棒蘸取某溶液做焰色反应实验，火焰呈黄色并不能说明该溶液中含有钠元素,测氯水的pH值，可用干燥洁净的玻璃棒蘸取氯水点在pH试纸上，待其变色后和标准比色卡比较,实验室从海带中提取单质碘的方法是：取样→灼烧→溶解→过滤→萃取,配制浓硫酸、浓硝酸的混酸时，应将浓硝酸沿玻璃棒缓慢注入浓硫酸中,A,A题目：下列说法正确的是A. 用玻璃棒蘸取某溶液做焰色反应实验，火焰呈黄色并不能说明该溶液中含有钠元素答案是：A
26,下列有关变化过程的叙述不正确的是,用“地沟油”纯化生产“生物燃油”的过程发生的是化学变化,从海水中提取镁必须通过化学反应才能实现,用侯氏制碱法制纯碱必须通过化学反应才能实现,激光法蒸发石墨得C60发生的是化学变化,A,D
27,古代的很多成语、谚语都蕴含着很多科学知识，下列对成语、谚语的解释正确的是,“玉不琢不成器”，“百炼方能成钢”发生的均为化学变化,“火树银花”中的焰火实质上是金属元素的焰色反应,“甘之如饴”说明糖类均有甜味,“爆竹声中除旧岁，春风送暖入屠苏”。爆竹爆炸发生的是分解反应,B,B题目：古代的很多成语、谚语都蕴含着很多科学知识，下列对成语、谚语的解释正确的是A. “玉不琢不成器”，“百炼方能成钢”发生的均为化学变化B. “火树银花”中的焰火实质上是金属元素的焰色反应C. “甘之如饴”说明糖类均有甜味D. “爆竹声中除旧岁，春风送暖入屠苏”。爆竹爆炸发生的是分解反应答案是：B
28,用NA表示阿伏加德罗常数的值，下列说法正确的是：a 将1 mol氯气通入一定量水中发生反应转移电子数为NA；b 12.0 g熔融的NaHSO4中含有的阳离子数为0.1NA；c 在标准状况下，22.4 L辛烷中的分子数为NA；d 1 mol羟基中含有的电子数为10NA；e 1 mol Na2O和Na2O2混合物中含有的阴、阳离子总数是3NA,cde,ace,be,de,C,D
29,下列各种物质在一定条件下反应，所得产物种类与反应物的用量或条件无关的是a: Fe＋O2；b: NH4HCO3＋NaOH；c: Cu＋Cl2；d: Ca(HCO3)2＋Ca(OH)2；e: C＋SiO2,abd,cd,ade,bc,B,B
30,“6·5”世界环境日中国主题为“向污染宣战”，下列行为不利于遏制污染的是,扩建小型钢铁厂、水泥厂，提高钢铁、水泥的产,研发可降解的聚碳酸酯替代聚乙烯作一次性塑料袋的生产原料,推广机动车用天然气替代汽油、柴油的“油改气工程”,发展风能和太阳能等清洁能源，减少使用化石燃料,A,A
31,FeCl3溶液是实验室中使用较为广泛的一种试剂，下列有关FeCl3溶液的作用或实验现象解释合理的是,向FeCl3溶液中滴加氨水出现红褐色沉淀：Fe3＋＋3OH－===Fe(OH)3,FeCl3溶液使蓝色石蕊试纸变红：Fe3＋＋3H2O===3H＋＋Fe(OH)3,检测FeCl3溶液中的Fe3＋用KSCN溶液：Fe3＋＋3SCN－===Fe(SCN)3,用FeCl3溶液腐蚀印刷电路板：Fe3＋＋Cu===Cu2＋＋Fe2＋,C,题目：FeCl3溶液是实验室中使用较为广泛的一种试剂，下列有关FeCl3溶液的作用或实验现象解释合理的是A. 向FeCl3溶液中滴加氨水出现红褐色沉淀：Fe3＋＋3OH－===Fe(OH)3B. FeCl3溶液使蓝色石蕊试纸变红：Fe3＋＋3H2O===3H＋＋Fe(OH)3C. 检测FeCl3溶液中的Fe3＋用KSCN溶液：Fe3＋＋3SCN－===Fe(SCN)3D. 用FeCl3溶液腐蚀印刷电路板：Fe3＋＋Cu===Cu2＋＋Fe2＋答案是：C
32,人类生活离不开化学知识，下列叙述不正确的是,因患“禽流感”而被捕杀的家禽尸体常用生石灰处理,臭氧是饮用水的理想消毒剂之一，因为它杀菌能力强且不影响水质,医疗上常用体积分数为75%的酒精进行皮肤消,食品加工、消毒、防腐常使用福尔马林,D,D题目：人类生活离不开化学知识，下列叙述不正确的是A. 因患“禽流感”而被捕杀的家禽尸体常用生石灰处理B. 臭氧是饮用水的理想消毒剂之一，因为它杀菌能力强且不影响水质C. 医疗上常用体积分数为75%的酒精进行皮肤消毒D. 食品加工、消毒、防腐常使用福尔马林选项D是不正确的。福尔马林（甲醛溶液）虽然可以用于防腐，但因其对人体有害，通常不推荐用于食品加工或直接接触人体的消毒。
33,科学家最近研究出一种环保、安全的储氢方法，其原理可表示为NaHCO3＋H2==HCOONa＋H2O，释氢为其逆向反应。下列有关说法正确的是,HCOONa晶体中既含有离子键又含有共价键,储氢过程中，NaHCO3被氧化,储氢、释氢过程均无能量变化,释氢过程的本质是盐类的水解,A,A
34,下列化学方程式中，不能正确表达反应颜色变化的是,向Mg(OH)2悬浊液中滴加足量FeCl3溶液出现红褐色沉淀：3Mg(OH)2+2FeCl3==2Fe(OH)3+3MgCl2,澄清的石灰水久置后出现白色固体：Ca(OH)2+CO2==CaCO3+H2O,向CuSO4溶液中加入足量Zn粉，溶液蓝色消失：Zn+CuSO4==Cu+ZnSO4,Na2O2在空气中放置后由淡黄色变为白色：2Na2O2==2Na2O+O2,D,题目：下列化学方程式中，不能正确表达反应颜色变化的是A. 向Mg(OH)2悬浊液中滴加足量FeCl3溶液出现红褐色沉淀：3Mg(OH)2+2FeCl3==2Fe(OH)3+3MgCl2B. 澄清的石灰水久置后出现白色固体：Ca(OH)2+CO2==CaCO3+H2OC. 向CuSO4溶液中加入足量Zn粉，溶液蓝色消失：Zn+CuSO4==Cu+ZnSO4D. Na2O2在空气中放置后由淡黄色变为白色：2Na2O2==2Na2O+O2答案是：B解析：选项B中的化学方程式实际上是描述了澄清石灰水久置后出现白色固体（碳酸钙沉淀）的过程，这个过程没有颜色变化。其他选项都正确描述了颜色变化的反应。
35,根据下列实验操作和现象，所得出的结论不正确的是,实验操作：在酒精灯上加热铝箔。实验现象:铝箔熔化但不滴落。结论:熔点：氧化铝>铝。,实验操作：常温下，向浓硫酸中投入铁片。实验现象:铁片不溶解。结论:常温下，铁不与浓硫酸反应。,实验操作：向硅酸钠溶液中滴加1滴酚酞，然后逐滴加入稀盐酸至红色褪去。实验现象:2 min后，试管里出现凝胶。结论:酸性：盐酸>硅酸。,实验操作：向某溶液中先滴加KSCN溶液，再滴加少量氯水。实验现象:先无明显现象，后溶液变成红色。结论:溶液中含有Fe2＋，没有Fe3＋。,B,D题目：实验操作：向某溶液中先滴加KSCN溶液，再滴加少量氯水。实验现象:先无明显现象，后溶液变成红色。结论:溶液中含有Fe2＋，没有Fe3＋。解析：该结论不正确。正确的解释是，先滴加KSCN溶液时，如果溶液中有Fe3+，会生成血红色的Fe(SCN)2+配合物，但由于Fe2+被氯水氧化成Fe3+，所以第一次加入KSCN时没有立即显示红色；第二次加入氯水后，Fe2+被氧化为Fe3+，此时才显示出红色。因此，这个实验现象只能说明溶液中含有Fe2+，并且之后被氧化成了Fe3+，但不能确定原来没有Fe3+。
36,下列中学常见实验的现象或表述正确的是,向CuSO4溶液中滴入过量的NaOH溶液充分反应后，将混合液体倒入蒸发皿中加热煮沸一会，然后冷却、过滤，滤纸上的物体为“蓝色固体”,制备氢氧化亚铁时，向硫酸亚铁溶液中滴加氢氧化钠溶液，边加边搅拌，即可制得白色的氢氧化亚铁,检验红砖中的氧化铁成分，向红砖粉末中加入盐酸，充分反应后取上层清液于试管中，滴加KSCN溶液2～3滴，溶液显红色即可证明,过量的铁投入到一定量的稀硝酸中，充分反应后取上层清液于试管中，滴加KSCN溶液，溶液显红色,C,答案是：C
